id_timestamp,id_index,sensor_index,sensor_id,timestamp_since_poweron,real_time_clock,temperature,pressure,relative_humidity,resistance_gassensor,heater_profile_step_index,scanning_enabled,scanning_cycle_index,label_tag,error_code
2026_02_19_08_29,52,2,1724204062,13489,1771489803,27.640408,996.346436,40.83445,34178.90625,6,1,1,0,0
2026_02_19_08_29,53,4,1724209694,13498,1771489803,27.813269,996.187927,39.215904,53222.453125,6,1,1,0,0
2026_02_19_08_29,54,5,1724219422,13502,1771489803,27.799313,996.009521,39.453136,29499.884766,6,1,1,0,0
2026_02_19_08_29,55,7,1724199965,13511,1771489803,27.715927,996.413574,39.780273,39862.972656,6,1,1,0,0
2026_02_19_08_29,56,3,1724221471,14053,1771489803,27.992624,996.194519,39.961716,20745.542969,7,1,1,0,0
2026_02_19_08_29,57,6,1724206621,14066,1771489803,28.161133,996.503357,39.233898,19008.019531,7,1,1,0,0
2026_02_19_08_29,58,0,1724206365,14180,1771489803,27.436152,996.163086,41.703823,24643.820312,7,1,1,0,0
2026_02_19_08_29,59,1,1724192798,14185,1771489803,27.885859,996.385986,40.974289,17524.644531,7,1,1,0,0
2026_02_19_08_29,60,2,1724204062,14189,1771489803,27.946991,996.36084,40.596981,19801.980469,7,1,1,0,0
2026_02_19_08_29,61,4,1724209694,14198,1771489803,28.13525,996.164734,39.17429,23516.443359,7,1,1,0,0
2026_02_19_08_29,62,5,1724219422,14202,1771489803,28.087564,995.99231,39.196598,16636.339844,7,1,1,0,0
2026_02_19_08_29,63,7,1724199965,14211,1771489803,28.030844,996.373169,39.580349,19110.181641,7,1,1,0,0
2026_02_19_08_29,64,3,1724221471,14753,1771489804,28.401997,996.196594,39.434708,34288.777344,8,1,1,0,0
2026_02_19_08_29,65,6,1724206621,14766,1771489804,28.57362,996.534729,38.923653,30360.53125,8,1,1,0,0
2026_02_19_08_29,66,0,1724206365,14880,1771489804,27.795242,996.15155,41.368584,37481.699219,8,1,1,0,0
