,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,label_enc
232,4,4,1,100,150,22.49,1093.21,55.45,117837,cinnamon,2
233,1,4,0,320,150,24.31,1019.42,46.12,31574,cinnamon,2
234,7,4,2,100,150,24.06,1053.67,51.19,884665,cinnamon,2
235,6,4,2,100,150,23.23,1098.82,56.31,732213,cinnamon,2
236,3,4,1,100,150,23.17,1023.74,58.33,587324,cinnamon,2
237,8,3,9,320,150,23.59,1000.62,43.83,22448,cinnamon,2
238,5,3,9,320,150,22.8,1101.41,55.01,26661,cinnamon,2
239,2,4,2,100,150,23.64,1096.25,56.72,128967,cinnamon,2
240,4,4,2,100,150,22.48,1093.22,55.39,108751,cinnamon,2
241,7,4,3,100,150,24.04,1053.68,51.17,833876,cinnamon,2
242,1,4,1,100,150,24.34,1019.42,46.01,1065557,cinnamon,2
243,6,4,3,100,150,23.21,1098.83,56.15,685179,cinnamon,2
244,3,4,2,100,150,23.16,1023.74,58.22,504807,cinnamon,2
245,8,4,0,320,150,23.63,1000.62,43.79,24516,cinnamon,2
246,5,4,0,320,150,22.84,1101.41,54.96,29237,cinnamon,2
247,2,4,3,100,150,23.62,1096.24,56.68,125922,cinnamon,2
248,4,4,3,100,150,22.46,1093.2,55.4,107383,cinnamon,2
249,7,4,4,200,150,24.03,1053.68,51.14,101567,cinnamon,2
250,1,4,2,100,150,24.32,1019.43,45.96,941393,cinnamon,2
251,6,4,4,200,150,23.2,1098.83,56.24,81013,cinnamon,2
252,3,4,3,100,150,23.14,1023.74,58.19,472652,cinnamon,2
253,8,4,1,100,150,23.66,1000.63,43.75,891598,cinnamon,2
254,2,4,4,200,150,23.6,1096.25,56.69,29137,cinnamon,2
255,5,4,1,100,150,22.87,1101.41,54.92,1119738,cinnamon,2
256,4,4,4,200,150,22.44,1093.2,55.32,27292,cinnamon,2
257,7,4,5,200,150,24.04,1053.68,51.1,99437,cinnamon,2
258,1,4,3,100,150,24.31,1019.44,45.95,892764,cinnamon,2
259,6,4,5,200,150,23.21,1098.82,56.17,76509,cinnamon,2
260,3,4,4,200,150,23.12,1023.75,58.15,71449,cinnamon,2
261,8,4,2,100,150,23.66,1000.63,43.64,813505,cinnamon,2
262,2,4,5,200,150,23.61,1096.25,56.66,27468,cinnamon,2
263,7,4,6,200,150,24.06,1053.68,50.93,97228,cinnamon,2
264,5,4,2,100,150,22.86,1101.4,54.83,1011108,cinnamon,2
265,4,4,5,200,150,22.45,1093.21,55.3,26219,cinnamon,2
266,1,4,4,200,150,24.29,1019.44,45.92,120414,cinnamon,2
267,6,4,6,200,150,23.23,1098.83,56.22,73416,cinnamon,2
268,3,4,5,200,150,23.13,1023.75,58.14,66858,cinnamon,2
269,2,4,6,200,150,23.62,1096.26,56.62,26812,cinnamon,2
270,8,4,3,100,150,23.65,1000.63,43.58,772102,cinnamon,2
271,7,4,7,320,150,24.09,1053.67,51.11,24404,cinnamon,2
272,4,4,6,200,150,22.46,1093.21,55.3,24859,cinnamon,2
273,5,4,3,100,150,22.85,1101.39,54.71,962632,cinnamon,2
274,1,4,5,200,150,24.3,1019.44,45.93,118738,cinnamon,2
275,6,4,7,320,150,23.25,1098.82,56.13,20725,cinnamon,2
276,3,4,6,200,150,23.15,1023.76,58.09,63952,cinnamon,2
277,2,4,7,320,150,23.64,1096.26,56.61,10373,cinnamon,2
278,7,4,8,320,150,24.12,1053.67,51.0,27468,cinnamon,2
279,8,4,4,200,150,23.64,1000.63,43.56,99495,cinnamon,2
280,4,4,7,320,150,22.48,1093.22,55.45,10194,cinnamon,2
281,5,4,4,200,150,22.84,1101.39,54.66,118491,cinnamon,2
282,1,4,6,200,150,24.32,1019.44,45.86,118573,cinnamon,2
283,6,4,8,320,150,23.29,1098.83,56.07,24658,cinnamon,2
284,3,4,7,320,150,23.16,1023.76,58.08,21032,cinnamon,2
285,2,4,8,320,150,23.67,1096.27,56.58,12749,cinnamon,2
286,7,4,9,320,150,24.16,1053.67,50.93,29747,cinnamon,2
287,4,4,8,320,150,22.51,1093.23,55.31,12244,cinnamon,2
288,8,4,5,200,150,23.65,1000.63,43.53,94274,cinnamon,2
289,5,4,5,200,150,22.85,1101.39,54.78,115056,cinnamon,2
