id_timestamp,id_index,sensor_index,sensor_id,timestamp_since_poweron,real_time_clock,temperature,pressure,relative_humidity,resistance_gassensor,heater_profile_step_index,scanning_enabled,scanning_cycle_index,label_tag,error_code
2026_02_18_21_53,15947,2,1724204062,6347090,1771457934,36.843323,993.083191,16.980455,337842.28125,6,1,5,0,0
2026_02_18_21_53,15948,5,1724219422,6347098,1771457934,38.276325,992.828003,15.997005,348892.6875,5,1,4,0,0
2026_02_18_21_53,15949,1,1724192798,6347177,1771457934,36.959541,993.06897,17.517836,135629.140625,7,1,5,0,0
2026_02_18_21_53,15950,0,1724206365,6347250,1771457934,35.728004,992.904724,18.404657,680398.6875,4,1,5,0,0
2026_02_18_21_53,15951,4,1724209694,6347394,1771457934,38.581543,992.989807,15.650044,627835.6875,6,1,5,0,0
2026_02_18_21_53,15952,2,1724204062,6347813,1771457935,37.309479,993.128601,16.975981,143982.0,7,1,5,0,0
2026_02_18_21_53,15953,5,1724219422,6347818,1771457935,38.380703,992.806091,15.956805,311909.84375,6,1,4,0,0
2026_02_18_21_53,15954,7,1724199965,6347823,1771457935,37.315071,993.254089,16.328234,10214464.0,3,1,4,0,0
2026_02_18_21_53,15955,1,1724192798,6347901,1771457935,37.168198,993.105286,17.375906,162179.28125,8,1,5,0,0
2026_02_18_21_53,15956,0,1724206365,6347973,1771457935,35.944969,992.939636,18.2654,588336.6875,5,1,5,0,0
2026_02_18_21_53,15957,4,1724209694,6347978,1771457935,39.080799,993.019531,15.661013,197264.5,7,1,5,0,0
2026_02_18_21_53,15958,5,1724219422,6348402,1771457935,38.842953,992.814636,15.935681,125644.171875,7,1,4,0,0
2026_02_18_21_53,15959,2,1724204062,6348537,1771457936,37.518871,993.103943,16.931623,173559.328125,8,1,5,0,0
2026_02_18_21_53,15960,7,1724199965,6348546,1771457936,37.982765,993.234192,16.395704,575928.0,4,1,4,0,0
2026_02_18_21_53,15961,1,1724192798,6348635,1771457936,37.265076,993.103394,17.263521,174268.203125,9,1,5,0,0
2026_02_18_21_53,15962,0,1724206365,6348717,1771457936,36.037247,992.932617,18.328617,534446.75,6,1,5,0,0
2026_02_18_21_53,15963,4,1724209694,6348723,1771457936,39.310459,993.00531,15.459259,239476.140625,8,1,5,0,0
2026_02_18_21_53,15964,5,1724219422,6349146,1771457936,39.06414,992.792969,15.850751,150854.453125,8,1,4,0,0
2026_02_18_21_53,15965,2,1724204062,6349292,1771457936,37.636036,993.116882,16.759771,187066.125,9,1,5,0,0
2026_02_18_21_53,15966,7,1724199965,6349298,1771457936,38.227165,993.27832,16.435093,493850.96875,5,1,4,0,0
2026_02_18_21_53,15967,0,1724206365,6349417,1771457936,36.473682,992.955627,18.370455,175342.46875,7,1,5,0,0
2026_02_18_21_53,15968,4,1724209694,6349447,1771457936,39.447754,993.054565,15.496955,254663.015625,9,1,5,0,0
2026_02_18_21_53,15969,5,1724219422,6349871,1771457937,39.203312,992.815857,15.741091,162642.953125,9,1,4,0,0
2026_02_18_21_53,15970,7,1724199965,6350015,1771457937,38.33551,993.249451,16.31082,450803.4375,6,1,4,0,0
2026_02_18_21_53,15971,0,1724206365,6350117,1771457937,36.668209,992.941162,18.135122,213155.703125,8,1,5,0,0
2026_02_18_21_53,15972,5,1724219422,6350609,1771457938,39.292778,992.821045,15.654263,167101.828125,0,1,5,0,0
2026_02_18_21_53,15973,7,1724199965,6350614,1771457938,38.8092,993.244324,16.331421,143739.46875,7,1,4,0,0
2026_02_18_21_53,15974,0,1724206365,6350704,1771457938,36.740532,992.949951,18.055424,228877.96875,9,1,5,0,0
2026_02_18_21_53,15975,5,1724219422,6350778,1771457938,38.820587,992.867188,15.309949,17075560.0,1,1,5,0,0
2026_02_18_21_53,15976,7,1724199965,6351342,1771457938,39.028408,993.25238,16.265182,170269.375,8,1,4,0,0
2026_02_18_21_53,15977,7,1724199965,6352042,1771457939,39.146832,993.271301,16.172594,180918.734375,9,1,4,0,0
2026_02_18_21_53,15978,5,1724219422,6352177,1771457939,37.789223,992.82843,15.444019,12617636.0,2,1,5,0,0
2026_02_18_21_53,15979,7,1724199965,6352742,1771457940,39.219902,993.252869,16.08799,190440.765625,0,1,5,0,0
2026_02_18_21_53,15980,7,1724199965,6353022,1771457940,38.76133,993.294128,16.016487,20602326.0,1,1,5,0,0
2026_02_18_21_53,15981,7,1724199965,6354422,1771457941,37.733326,993.296753,15.878707,15701006.0,2,1,5,0,0
2026_02_18_21_53,15982,5,1724219422,6356377,1771457943,37.431358,992.81958,15.713829,8112899.0,3,1,5,0,0
2026_02_18_21_53,15983,5,1724219422,6357077,1771457944,38.094902,992.809265,15.799388,426311.40625,4,1,5,0,0
2026_02_18_21_53,15984,5,1724219422,6357777,1771457945,38.321056,992.805359,15.80118,353591.15625,5,1,5,0,0
