,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,id,humidity_diff,gas_resistance_diff,pca_0,pca_1
16804,3,23,6,200,150,30.52,1034.47,-0.012777128036775885,0.06061603489759469,air,4_3_23,6.70073708107884,0.10020979944885974,-2.6799186748576145,-1.132850467388115
16904,3,24,6,200,150,30.55,1034.49,-0.011874730551032497,0.07072052303175194,air,4_3_24,-3.20035203872379,0.1221580489206514,-2.4135433081375424,0.46913030021993746
15428,3,9,6,200,150,29.87,1034.47,0.015648392764141546,-0.116972162953678,air,4_3_9,16.60182620088147,-0.12411422088783443,-2.390111947193714,0.4679103695364881
8020,3,10,6,200,150,29.68,1035.12,0.00518565616488685,0.0057158498546287535,air,2_3_10,-0.9999052721321139,-0.10579904560145126,0.18770570107677348,0.4494795134523208
8116,3,11,6,200,150,29.75,1035.13,0.006286385067811067,0.02089646645608243,air,2_3_11,11.31471755307385,0.02680711631431497,0.08919101949794069,-0.1747074624043931
8313,3,13,6,200,150,29.86,1035.12,-0.0011985714720730428,0.04262705304950105,air,2_3_13,-0.9999052721321139,0.23910892180930787,-0.05512888341027449,0.07519781245466056
8412,3,14,6,200,150,29.91,1035.12,-0.0036201750585061004,0.061328174487805,air,2_3_14,-3.841741308718157,0.1410727244924777,-0.21458186103487842,-0.7809035701526229
8610,3,16,6,200,150,30.01,1035.11,-0.010224548476050775,0.08483149755935389,air,2_3_16,-16.156364133923447,0.05979372375604786,-0.28396407544378166,-0.14335964744098886
8706,3,17,6,200,150,30.05,1035.09,-0.009123819573126715,0.08400754961881447,air,2_3_17,-1.947183950994577,0.13236426012786023,-0.17410877142769024,-0.23187458336897612
8896,3,19,6,200,150,30.13,1035.1,-0.013526735184823111,0.0931791721488594,air,2_3_19,12.261996231935639,0.2591647791338815,-0.35953658726813514,-0.21547364436644179
7232,3,2,6,200,150,28.86,1035.1,0.04635291713424914,-0.53347901151696,air,2_3_2,-1.947183950993904,-1.0864249116292866,-0.2750686868956018,-0.22305139991715459
8993,3,20,6,200,150,30.17,1035.1,-0.014187172526577611,0.10767732681976526,air,2_3_20,1.8419307644539291,0.15281595674173462,-0.7706062125757049,0.28000845103727756
