,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,id,temperature_diff,pressure_diff,humidity_diff,gas_resistance_diff,pca_0,pca_1
3796,3,12,3,100,150,0.02660103209967636,0.00019113822449319054,0.023171728094692673,0.28811396292422453,eucalyptus,1_3_12,0.2000080003200534,-0.9993004896572394,-3.4501207542264165,-0.31732332399187424,-2.1084099849981452,0.5662597012572338
4090,3,15,3,100,150,0.031353814498524674,0.00023944030288513966,0.02537257065456852,0.18209477704685864,eucalyptus,1_3_15,0.2000080003200534,-0.9993004896572394,-7.650267759371771,-0.14191134405931596,-2.097332016761034,-1.0608429298674835
4192,3,16,3,100,150,0.03271175232676713,0.00026842154992017734,0.023611896606667748,0.15122045623353003,eucalyptus,1_3_16,0.6000240009599977,5.995802937943436,-14.300500517518001,-0.14322218929726893,-1.8915546120777,-0.7699697238725547
4291,3,17,3,100,150,0.03440917461207,0.00028774238127686914,0.020970885534816824,0.13688521454835545,eucalyptus,1_3_17,0.2000080003200534,-0.9993004896572394,-0.6500227507963463,-0.18291847242352055,-1.7827648379001984,-0.6727709964023946
4389,3,18,3,100,150,0.03576711244031246,0.0003070632126335609,0.02075080127882929,0.12487926239509793,eucalyptus,1_3_18,0.20000800031991128,5.995802937943436,-2.0500717525113816,-0.23351565811923272,-1.798292197443443,-0.6265385249873261
4484,3,19,3,100,150,0.037125050268554796,0.00033604445966859856,0.01810979020697821,0.12785734519293887,eucalyptus,1_3_19,0.20000800031991128,5.995802937943436,1.4500507517763308,-0.30750999082313296,-1.779794514598425,-0.5025082345888033
2816,3,2,3,100,150,-0.0012366933792920833,7.521323635303984e-05,0.04870150178925207,-0.04703878234967617,eucalyptus,1_3_2,-0.6000240009601197,-0.9993004896572394,8.450295760351755,-0.49999897108089175,-2.247869019035218,-1.3465673135139198
4682,3,21,3,100,150,0.039840925925039475,0.00037468612238198215,0.0183298744629659,0.0847851492544705,eucalyptus,1_3_21,0.2000080003200534,-0.9993004896572394,-1.000035001225043,-0.27707965494208187,-1.5476462177458261,0.12074672484853713
4982,3,24,3,100,150,0.04323577049564545,0.0004712902791656607,0.014368357855189438,0.04659247784990561,eucalyptus,1_3_24,0.2000080003200534,-0.9993004896572394,-7.300255508943074,-0.25833168706080945,-1.5525007911211628,0.42682498649941014
5082,3,25,3,100,150,0.04459370832388779,0.0005002715262006984,0.016129031903090053,0.03389466678825312,eucalyptus,1_3_25,0.2000080003200534,-7.994403917257915,-1.700059502082685,-0.33111600877583,-1.5618145927337561,0.5903962536687193
5178,3,26,3,100,150,0.0456121616950696,0.000538913188914082,0.015468779135127285,0.030559888125596908,eucalyptus,1_3_26,0.20000800031991128,-7.994403917257915,-2.0500717525113816,-0.32267474163912185,-1.627145234073308,0.8310502040004615
5378,3,28,3,100,150,0.047649068437433106,0.0006065360986625032,0.012167515295313592,0.0014924518768181193,eucalyptus,1_3_28,0.6000240009599977,5.995802937943436,2.850099753491366,-0.34696139077306365,-1.6142868709450167,1.181058567772299
2916,3,3,3,100,150,0.0041950579336772756,7.521323635303984e-05,0.04187888985363714,0.18318920609139686,eucalyptus,1_3_3,-0.20000800031989102,-0.9993004896572394,-0.30001050036764965,-0.26050322463906667,-1.6541338049240035,1.277337640669664
5573,3,30,3,100,150,0.05002545963685726,0.0006741590084109244,0.013488020831238975,-0.01547728367604726,eucalyptus,1_3_30,0.2000080003200534,-7.994403917257915,-1.000035001225043,-0.3547904499689696,-1.6456890439848573,1.5425138459096264
5765,3,32,3,100,150,0.05206236637922077,0.0007611027495162572,0.012167515295313592,-0.02746263921768814,eucalyptus,1_3_32,0.2000080003200534,5.995802937943436,-2.7500962533690236,-0.37945522753693633,-1.6682226692411086,1.6730715984194
5959,3,34,3,100,150,0.05375978866452376,0.0008287256592646783,0.01106709401537559,-0.0449032882088792,eucalyptus,1_3_34,0.2000080003200534,5.995802937943436,1.1000385013476341,-0.33545908393234447,-1.707543593446042,2.068093064897528
6059,3,35,3,100,150,0.054778242035705575,0.000857706906299716,0.01018675699142528,-0.04916585060390271,eucalyptus,1_3_35,0.2000080003200534,-0.9993004896572394,-0.30001050036740096,-0.3794588287601175,-1.7319208796770238,2.015211644707104
6157,3,36,3,100,150,0.05579669540688739,0.0009349902317264832,0.01040684124741282,-0.04060140500986031,eucalyptus,1_3_36,0.20000800031991128,12.990906365544111,0.7500262509189376,-0.31338718705483415,-1.7476717936588302,2.5163929309176782
3110,3,5,3,100,150,0.010984747074889214,9.453406770973162e-05,0.034836193662034526,0.2985826588831863,eucalyptus,1_3_5,0.20000800031991128,-7.994403917257915,-4.150145255084059,-0.09015816572244198,-1.71086711635603,-1.1992933735226157
3209,3,6,3,100,150,0.01404010718843454,0.0001235153147447693,0.032855435358146216,0.31460869514016243,eucalyptus,1_3_6,-0.20000800032003313,-0.9993004896572394,-1.3500472516537396,-0.0027564791149733477,-1.5212514760586575,-0.7050903437517515
3307,3,7,3,100,150,0.016416498387858695,0.0001428361461014611,0.03263535110215868,0.3052128954045033,eucalyptus,1_3_7,0.20000800031991128,5.995802937943436,-4.150145255084059,0.00740617270234336,-1.476764146368374,-0.5067837419633707
3406,3,8,3,100,150,0.018792889587282847,0.00015249656177980698,0.029334087262344984,0.3078839014473327,eucalyptus,1_3_8,0.20000800031991128,-7.994403917257915,-1.000035001225043,-0.050523103390270586,-1.533398951591006,-0.4230773984422799
3502,3,9,3,100,150,0.02082979632964636,0.00016215697745815285,0.027573413214444214,0.2920198294544328,eucalyptus,1_3_9,0.2000080003200534,5.995802937943436,0.05000175006129567,-0.0790627971011972,-1.3656393294098195,-0.6190632049902267
17245,3,1,4,200,150,-0.02452954887926112,6.76668470463391e-05,0.13343869646785522,-0.8438938213652205,lavender,5_3_1,-1.6667222240741393,0.0,-1.6110126603373514,-0.9245066224905164,0.8739183818546437,0.2425734429710793
18126,3,10,4,200,150,0.009859916706369458,8.700023191665889e-05,0.099796791605401,-0.7255503673911162,lavender,5_3_10,6.464951652195481e-14,9999.999999990905,4.499725016805179,-0.7808032608317262,0.898053478726936,0.38917110947891825
18225,3,11,4,200,150,0.01184392433630976,6.76668470463391e-05,0.09934522241261631,-0.7336069938907741,lavender,5_3_11,-5.377822036262788e-14,-9999.999999990905,0.8332824105195741,-0.7880674266492617,0.8823275147715584,0.48736459383491976
18322,3,12,4,200,150,0.013166596089603216,8.700023191665889e-05,0.09934522241261631,-0.7409874134086385,lavender,5_3_12,6.464951652195481e-14,0.0,0.22220864280501712,-0.7939351234727583,0.6867813202998083,0.8956693662763329
18419,3,13,4,200,150,0.014819935781220095,0.0001063336167869787,0.09844208402704709,-0.7469322491202353,lavender,5_3_13,-5.377822036262788e-14,0.0,-5.277455266622957,-0.8026105909605084,0.9167209969275757,0.6983534950026472
