,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,id,humidity_diff,gas_resistance_diff,label_enc
9908,3,3,1,100,150,29.42,1035.18,0.07633817288721492,-0.7115402413765548,grapefruit,3_3_3,3.0000800021335476,-0.717005496279657,2
12760,3,32,1,100,150,31.42,1036.18,0.05445693379378178,-0.6949898386154764,grapefruit,3_3_32,-1.5333742233125165,-0.7000148021589151,2
12958,3,34,1,100,150,31.5,1036.27,0.053581684230044474,-0.6933047865519646,grapefruit,3_3_34,0.6000160004267411,-0.6982562813752636,2
13247,3,37,1,100,150,31.61,1036.43,0.05270643466630717,-0.6916014346180844,grapefruit,3_3_37,-0.20000533347552782,-0.6964947730855028,2
13445,3,39,1,100,150,31.69,1036.52,0.051612372711635573,-0.6805614888223045,grapefruit,3_3_39,0.066668444491832,-0.6851990124858237,2
10105,3,5,1,100,150,29.69,1035.22,0.07064905072292235,-0.6825905784487402,grapefruit,3_3_5,0.066668444491832,-0.6884763066878464,2
10206,3,6,1,100,150,29.8,1035.25,0.06977380115918504,-0.677468810730064,grapefruit,3_3_6,0.066668444491832,-0.6832982117237115,2
10304,3,7,1,100,150,29.91,1035.28,0.06780448964077598,-0.6778845837848315,grapefruit,3_3_7,1.40003733432901,-0.683809822144948,2
2700,3,1,1,100,150,29.01,1035.22,0.06665653759615328,-0.6824832400071266,eucalyptus,1_3_1,1.3371177135511128,-0.6836079447217964,1
3777,3,12,1,100,150,30.29,1035.35,0.021014785846343673,0.05249745915919782,eucalyptus,1_3_12,1.0449743475652007,0.05763107100036271,1
4070,3,15,1,100,150,30.43,1035.4,0.01838160786077763,0.00338736204561841,eucalyptus,1_3_15,1.9214044455231443,0.007896551332256311,1
4170,3,16,1,100,150,30.48,1035.42,0.019039902357169142,-0.0054842533779569215,eucalyptus,1_3_16,-0.12359911637865499,-0.0009715644960712423,1
4370,3,18,1,100,150,30.57,1035.46,0.017284450366791885,-0.030539190447929916,eucalyptus,1_3_18,0.16854424960725703,-0.026258652609395642,1
2796,3,2,1,100,150,29.43,1035.23,0.04932144919117753,-0.25267283103136834,eucalyptus,1_3_2,0.46068761559316906,-0.25047501565665503,1
4664,3,21,1,100,150,30.68,1035.54,0.013554114887240096,-0.07412186470872098,eucalyptus,1_3_21,0.7528309815792886,-0.07039729599940493,1
4961,3,24,1,100,150,30.79,1035.64,0.013773546386037372,-0.10363536820693615,eucalyptus,1_3_24,-0.41574248236477457,-0.10028818910966528,1
5060,3,25,1,100,150,30.82,1035.68,0.01245695739325435,-0.10855339295795419,eucalyptus,1_3_25,-1.5843159463086303,-0.10522598593558892,1
5158,3,26,1,100,150,30.86,1035.72,0.01048207390407982,-0.12613329654584304,eucalyptus,1_3_26,1.0449743475652007,-0.12317515801698578,1
5358,3,28,1,100,150,30.92,1035.78,0.011359799899268604,-0.1415246148596236,eucalyptus,1_3_28,-0.12359911637886258,-0.13867303916240203,1
5553,3,30,1,100,150,30.98,1035.85,0.01048207390407982,-0.1674304601753901,eucalyptus,1_3_30,-0.12359911637865499,-0.16516403851431802,1
5939,3,34,1,100,150,31.1,1035.99,0.006312875426933795,-0.19047620420683742,eucalyptus,1_3_34,2.505691177494968,-0.18836519083902234,1
6039,3,35,1,100,150,31.13,1036.04,0.008507190414905445,-0.19404584194532679,eucalyptus,1_3_35,-0.7078858483506866,-0.1918613754871078,1
6137,3,36,1,100,150,31.15,1036.1,0.005654580930542285,-0.1855164105173852,eucalyptus,1_3_36,1.6292610795372322,-0.18301251783672848,1
6432,3,39,1,100,150,31.23,1036.25,0.006312875426933795,-0.22247281754504286,eucalyptus,1_3_39,-1.2921725803225106,-0.22080146484038174,1
6526,3,40,1,100,150,31.26,1036.31,0.005874012429339558,-0.22164493576530922,eucalyptus,1_3_40,-0.7078858483506866,-0.21991778958938626,1
6720,3,42,1,100,150,31.31,1036.4,0.003021402944976399,-0.23707641651989184,eucalyptus,1_3_42,1.9214044455231443,-0.23557798966322324,1
6819,3,43,1,100,150,31.33,1036.46,0.004776854935353656,-0.18867960435495745,eucalyptus,1_3_43,0.7528309815792886,-0.18570481111388965,1
3089,3,5,1,100,150,29.83,1035.26,0.03198636078620176,0.09835011457412275,eucalyptus,1_3_5,1.6292610795370246,0.10435196093640049,1
3190,3,6,1,100,150,29.91,1035.27,0.03220579228499888,0.11680502387228636,eucalyptus,1_3_6,-2.752889410252486,0.12303679541541936,1
3387,3,8,1,100,150,30.06,1035.32,0.026500573316272716,0.11595250912886076,eucalyptus,1_3_8,2.213547811509056,0.12195448581472938,1
3485,3,9,1,100,150,30.12,1035.31,0.02562284732108409,0.10415546151726153,eucalyptus,1_3_9,-0.41574248236477457,0.11006503698315391,1
17226,3,1,2,100,150,29.46,1034.55,0.1078120852508999,-0.8941346679822699,lavender,5_3_1,-2.26510799926494,-0.8878874562368831,3
18207,3,11,2,100,150,30.66,1034.57,0.06998328340847891,-0.6720612405290972,lavender,5_3_11,3.6386309349895587,-0.028237042877993918,3
18302,3,12,2,100,150,30.7,1034.57,0.06976334851404628,-0.6837097234370658,lavender,5_3_12,-0.36747762754031715,0.028516793363753,3
18399,3,13,2,100,150,30.75,1034.6,0.07042315319734434,-0.6921391429281399,lavender,5_3_13,-1.000021084781908,-0.06669440013468136,3
18497,3,14,2,100,150,30.8,1034.6,0.06954341361961364,-0.6994982543551899,lavender,5_3_14,0.47591364878175413,-0.11866421317307016,3
18788,3,17,2,100,150,30.92,1034.6,0.07174276256394031,-0.7244863006513432,lavender,5_3_17,0.8976092869428647,-0.17391384699721826,3
18985,3,19,2,100,150,31.0,1034.59,0.07152282766950768,-0.7350741799556516,lavender,5_3_19,-0.7891732657014278,-0.1307358814788927,3
19183,3,21,2,100,150,31.06,1034.61,0.07218263235280574,-0.7444208274746845,lavender,5_3_21,-0.5783254466207975,-0.256010830547953,3
19282,3,22,2,100,150,31.09,1034.62,0.07350224171940188,-0.7500991889760993,lavender,5_3_22,-2.0542601801846097,-0.2616547603610346,3
19678,3,26,2,100,150,31.21,1034.64,0.07350224171940188,-0.763642232984821,lavender,5_3_26,-1.2108689038625382,-0.3138122816269146,3
19778,3,27,2,100,150,31.24,1034.63,0.07724113492475733,-0.7677941767851002,lavender,5_3_27,-5.427825285472745,-0.31677249110640504,3
